encounter_id,olympedia_result_id,olympedia_match_id,edition,edition_id,year,city,venue_location,sport,event,gender,encounter_type,round_raw,group_raw,stage_raw,stage_normalized,match_date_raw,usa_participant,usa_participant_raw,usa_athlete_id,ussr_participant,ussr_participant_raw,ussr_athlete_id,result_raw,score_raw,score_usa_first,usa_score,ussr_score,winner,outcome_class,winner_method,counts_for_pulse,source_url,match_source_url,source_local_file
olympedia-31971,31969,31971,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli II, Helsinki / Tennispalatsi, Helsinki",Basketball,"Basketball, Men",Men,team,Final Round,,Final Round,Final,02 Aug 16:00,United States,United States,,Soviet Union,Soviet Union,,36 – 25,36 – 25,36 – 25,36,25,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/31969,https://www.olympedia.org/results/31971,31969.html
olympedia-31990,31969,31990,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli II, Helsinki / Tennispalatsi, Helsinki",Basketball,"Basketball, Men",Men,team,Group B,,Group B,Group B,28 Jul,United States,United States,,Soviet Union,Soviet Union,,86 – 58,86 – 58,86 – 58,86,58,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/31969,https://www.olympedia.org/results/31990,31969.html
olympedia-22598,22596,22598,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki",Boxing,"Light-Welterweight, Men",Men,individual,Final Round,,Final Round,Final,02 Aug,Chuck Adkins,Chuck Adkins,8608,Viktor Mednov,Viktor Mednov,8518,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/22596,https://www.olympedia.org/results/22598,22596.html
olympedia-123175,123159,123175,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki / Messuhalli II, Helsinki",Wrestling,"Bantamweight, Freestyle, Men",Men,individual,Round Three,,Round Three,Round 3,22 Jul,Bill Borders,Bill Borders,60579,Rəşid Məmmədbəyov,Rəşid Məmmədbəyov,60501,Fall (10:40),Fall (10:40),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/123159,https://www.olympedia.org/results/123175,123159.html
olympedia-123221,123202,123221,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki / Messuhalli II, Helsinki",Wrestling,"Featherweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,22 Jul,Joe Henson,Joe Henson,60658,Ibrahim Dadashev,Ibrahim Dadashev,60457,Decision (2-1),Decision (2-1),,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/123202,https://www.olympedia.org/results/123221,123202.html
olympedia-123137,123126,123137,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki / Messuhalli II, Helsinki",Wrestling,"Flyweight, Freestyle, Men",Men,individual,Round Three,,Round Three,Round 3,22 Jul,Hugh Peery,Hugh Peery,60731,Georgy Sayadov,Georgy Sayadov,60528,Decision (3-0),Decision (3-0),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/123126,https://www.olympedia.org/results/123137,123126.html
olympedia-123405,123396,123405,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki / Messuhalli II, Helsinki",Wrestling,"Light-Heavyweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,23 Jul,Henry Wittenberg,Henry Wittenberg,60801,August Englas,August Englas,60465,Decision (3-0),Decision (3-0),,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/123396,https://www.olympedia.org/results/123405,123396.html
olympedia-123384,123355,123384,1952 Summer Olympics,13,1952,Helsinki,"Messuhalli I, Helsinki / Messuhalli II, Helsinki",Wrestling,"Middleweight, Freestyle, Men",Men,individual,Round Two,,Round Two,Round 2,21 Jul,Dan Hodge,Dan Hodge,60662,Davit Tsimak'uridze,Davit Tsimak'uridze,60552,Fall (5:58),Fall (5:58),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/123355,https://www.olympedia.org/results/123384,123355.html
olympedia-32046,32044,32046,1956 Summer Olympics,14,1956,Melbourne,"Royal Exhibition Building Annex, Melbourne, Victoria",Basketball,"Basketball, Men",Men,team,Final Round,,Final Round,Final,01 Dec,United States,United States,,Soviet Union,Soviet Union,,89 – 55,89 – 55,89 – 55,89,55,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/32044,https://www.olympedia.org/results/32046,32044.html
olympedia-32068,32044,32068,1956 Summer Olympics,14,1956,Melbourne,"Royal Exhibition Building Annex, Melbourne, Victoria",Basketball,"Basketball, Men",Men,team,Group B,,Group B,Group B,29 Nov,United States,United States,,Soviet Union,Soviet Union,,85 – 55,85 – 55,85 – 55,85,55,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/32044,https://www.olympedia.org/results/32068,32044.html
